Feature,Doc,Doc Link,Domain,Has Help Center,Help Center Link,Status,Test,Test Link
Loading Cart & Collecting Customer Information,Yes,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,Cart,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194
Shipping,Yes,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,Cart,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194
Payment Methods Display,Yes,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,Cart,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194
Apply Coupon Code,Yes,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,Cart,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194
Payment Methods & Confirm Order,Yes,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,Cart,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194
"Order Confirmation Page
",Yes,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,Cart,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194
"Cart Calculation Engine
",Yes,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,Order & Calculation,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454
Shipping Engine,Yes,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,Order & Calculation,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454
Tax Engine,Yes,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,Order & Calculation,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454
Commission Engine,Yes,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,Order & Calculation,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454
Merchant Share Engine,Yes,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,Order & Calculation,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454
Payment Routing Engine,Yes,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,Order & Calculation,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454
Order Creation Engine,Yes,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,Order & Calculation,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454
Payment Execution Engine,Yes,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,Order & Calculation,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454
Address,Yes,https://www.notion.so/Checkout-Address-Form-2cba781ca50980979fcac9c865d0177a,Cart,No,,Dev Complete (Untested),No,
