Feature,Dependency,Doc,Doc Link,Domain,Has Help Center,Help Center Link,Status,Test,Test Link
REDIRECT,,Yes,https://www.notion.so/Onboarding-Redirection-2cba781ca50980dfb2caf0a1789f95b7,Authentication,No,,Dev Complete (Untested),No,
OTP,,Yes,https://www.notion.so/Confirm-Email-OTP-Verification-Flow-2ada781ca50980709d73ca8386237c64,Authentication,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659
Login,,Yes,https://www.notion.so/Merchant-Login-2ada781ca50980a1988be47c791536be,Authentication,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659
Google auth,,Yes,https://www.notion.so/Google-Authentication-for-Login-Signup-2ada781ca5098081a9f6deadf2d9b34f,Authentication,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659
Password Reset,,Yes,https://www.notion.so/Reset-Password-Flow-2ada781ca5098092bb86d363e7086176,Authentication,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659
Referal,,Yes,https://www.notion.so/Merchant-Referral-Code-Signup-Flow-2ada781ca50980ae8390d12f5eb3311b,Authentication,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659
Partnership,,Yes,https://www.notion.so/Partner-Signup-Flow-2ada781ca509808e82bbcc6b432092ff,Authentication,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659
Shop Information Page,,Yes,https://www.notion.so/Shop-Information-Page-2aea781ca509808984bcdfcd5feeb2f4,OnBoarding,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1601282625#gid=1601282625
Create Inspirational Inventory,,Yes,https://www.notion.so/Create-Inspirational-Inventory-2aea781ca50980fca934f22322c54179,OnBoarding,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1601282625#gid=1601282625
"Shop Currency, Subscription & Final Onboarding",,Yes,https://www.notion.so/Shop-Currency-Subscription-Final-Onboarding-2aea781ca50980c1ad09cc9256567b74,OnBoarding,No,,Dev Complete (Untested),Yes,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1601282625#gid=1601282625
