Domain,Feature,Status,Doc,Test,Has Help Center,Doc Link,Test Link,Help Center Link,Dependency
Authentication,REDIRECT,Dev Complete (Untested),Yes,No,No,https://www.notion.so/Onboarding-Redirection-2cba781ca50980dfb2caf0a1789f95b7,,,
Authentication,Register,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Merchant-Signup-Email-Verification-Flow-25ba781ca5098025a5e7daad7ab8d055,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659,,
Authentication,OTP,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Confirm-Email-OTP-Verification-Flow-2ada781ca50980709d73ca8386237c64,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659,,
Authentication,Login,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Merchant-Login-2ada781ca50980a1988be47c791536be,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659,,
Authentication,Google auth,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Google-Authentication-for-Login-Signup-2ada781ca5098081a9f6deadf2d9b34f,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659,,
Authentication,Password Reset,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Reset-Password-Flow-2ada781ca5098092bb86d363e7086176,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659,,
Authentication,Referal,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Merchant-Referral-Code-Signup-Flow-2ada781ca50980ae8390d12f5eb3311b,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659,,
Authentication,Partnership,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Partner-Signup-Flow-2ada781ca509808e82bbcc6b432092ff,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=551564659#gid=551564659,,
OnBoarding,Shop Information Page,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shop-Information-Page-2aea781ca509808984bcdfcd5feeb2f4,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1601282625#gid=1601282625,,
OnBoarding,Create Inspirational Inventory,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Create-Inspirational-Inventory-2aea781ca50980fca934f22322c54179,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1601282625#gid=1601282625,,
OnBoarding,"Shop Currency, Subscription & Final Onboarding",Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shop-Currency-Subscription-Final-Onboarding-2aea781ca50980c1ad09cc9256567b74,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1601282625#gid=1601282625,,
Report - Dashboard,Home,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Merchant-Dashboard-2b0a781ca50980ce95bffe1c6b9b44c5,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=287004397#gid=287004397,,
Report - Dashboard,Analytics,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Analytics-Page-2b0a781ca5098016abdad88025d46749,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=287004397#gid=287004397,,
Products,Product List Page,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Product-List-Page-2aea781ca509805b8e99d32e8874aaee,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1960676129#gid=1960676129,,
Products,Create & Edit Physical Product,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Create-Edit-Physical-Product-2aea781ca50980288e59f18e04fcdc37,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1960676129#gid=1960676129,,
Products,Create & Edit POD Product,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Create-Edit-POD-Product-2aea781ca50980b48792d0954234cc83,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1960676129#gid=1960676129,,
Products,Create & Edit Digital Product,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Create-Edit-Digital-Product-2aea781ca50980649562fc0273d87321,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1960676129#gid=1960676129,,
Shared Product Features,Soft Delete Product,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shared-Product-Features-2aea781ca50980a19800cba2edde22be,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1897333552#gid=1897333552,,
Shared Product Features,Duplicate Product,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shared-Product-Features-2aea781ca50980a19800cba2edde22be,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1897333552#gid=1897333552,,
